,discoverymethod,st_spectype,pl_bmassj,pl_orbper,hostname,pl_radj
3312,Transit,,0.00819,0.93846683,Kepler-922,0.127
3313,Transit,,0.211,66.262,Kepler-413,0.388
3314,Transit,,0.05984,187.366,Kepler-47,0.628
3315,Transit,,0.172,5.00731778,Kepler-719,0.76
3316,Transit,,0.0227,2.05387982,Kepler-843,0.231
3317,Transit,,0.0249,12.3764661,Kepler-551,0.244
3318,Transit,G0 V,2.3,2.8786765,WASP-192,1.23
3319,Radial Velocity,K2 III,8.82,511.098,iot Dra,1.12
3320,Microlensing,,2.2,,KMT-2016-BLG-1836L,1.19
3321,Microlensing,,0.174,,OGLE-2014-BLG-1722L,0.766
3322,Transit,,0.0422,40.6994443,Kepler-627,0.333
3323,Radial Velocity,G5V,0.46,4.230785,51 Peg,1.27
3324,Transit,M1,0.0066,7.267302,Kepler-186,0.112
3325,Transit,M1,0.008,13.342996,Kepler-186,0.125
3326,Transit,,0.00606,6.195469,Kepler-169,0.108
3327,Transit,,0.0133,39.595519,Kepler-171,0.169
3328,Transit,M1,0.00678,22.407704,Kepler-186,0.113
3329,Transit,,0.00752,5.419026,Kepler-301,0.12
3330,Transit,M3.0,0.0451,10.134016,K2-95,0.346
3331,Transit,,0.00752,1.742169,K2-188,0.12
3332,Transit,K2 V,0.01227,1.422614,K2-36,0.128
3333,Transit,,0.00705,0.88184115,Kepler-1379,0.116
3334,Transit,M0 V,0.0197,10.139623,Kepler-159,0.212
3335,Transit,,0.0158,15.28469497,Kepler-602,0.186
3336,Transit,,0.013,81.0659,Kepler-79,0.311
3337,Transit,,0.0263,105.144749,Kepler-722,0.252
3338,Transit,,0.00489,8.09219642,Kepler-806,0.102
3339,Transit,,0.0249,15.74957994,Kepler-838,0.244
3340,Radial Velocity,K7 V,0.65,1634.0,BD-11 4672,1.25
3341,Radial Velocity,M3,0.02379,106.3,GJ 180,0.237
3342,Transit,,0.72,9.20205,CoRoT-4,1.19
3343,Radial Velocity,G4 IV,0.797,14.30944,HD 38529,1.24
3344,Radial Velocity,G0 V,1.26,1311.0,HD 216435,1.22
3345,Transit,,0.0176,5.374943,Kepler-217,0.199
3346,Transit,,0.074,30.864423,Kepler-215,0.213
3347,Transit,M1 V,0.0182,28.464515,Kepler-267,0.203
3348,Transit,,0.0213,43.130617,Kepler-265,0.222
3349,Transit,,0.035,57.24809,Kepler-351,0.285
3350,Transit,K,0.00063,6.189392,Kepler-444,0.047
3351,Transit,,0.0372,21.30022655,Kepler-596,0.309
3352,Transit,,0.0133,5.16950177,Kepler-634,0.169
3353,Transit,,0.0298,11.59822172,Kepler-676,0.271
3354,Transit,,0.0143,2.53918318,Kepler-683,0.176
3355,Transit,,0.01007,0.66931,Kepler-407,0.095
3356,Transit,,0.0267,51.07926307,Kepler-466,0.254
3357,Transit,,0.0297,6.33855761,Kepler-893,0.27
3358,Transit,,0.0116,4.85386933,Kepler-918,0.155
3359,Transit,,0.0189,16.78176602,Kepler-954,0.207
3360,Imaging,K3 IV,14.0,,TYC 8998-760-1,1.1
3361,Transit,K6,0.096,5.7214742,WASP-107,0.94
3362,Transit,M4.5 V,0.00569,3.777931,LHS 1140,0.114
3363,Transit,,0.0036,6.7987,EPIC 201170410,0.093
3364,Radial Velocity,F8 V,3.06,352.2,HD 67087,1.17
3365,Radial Velocity,G8 III,19.4,326.03,11 Com,1.08
3366,Radial Velocity,K1 III,7.32,712.13,HD 47536,1.13
3367,Radial Velocity,G5,4.38,111.4367,HD 80606,1.07
3368,Transit,,,38.47875707,Kepler-468,1.19
3369,Transit,M1 V,0.0093,20.995694,Kepler-54,0.136
3370,Transit,,,27.80756293,Kepler-699,1.259
3371,Transit,,0.0172,28.86235584,Kepler-513,0.196
3372,Transit,,0.00201,0.67737516,Kepler-780,0.079
3373,Transit,K5,0.02121,9.52355,Kepler-80,0.244
3374,Radial Velocity,M2.5 V,0.0107,9.1247,GJ 357,0.148
3375,Transit,,8.84,2.24375,WASP-14,1.38
3376,Transit,,1.24,2.34121,WASP-24,1.38
3377,Transit,,0.37,3.36101,WASP-6,1.03
3378,Transit,M3,0.00658,0.5182349,GJ 1252,0.106
3379,Radial Velocity,M3.5,0.02423,217.21,Wolf 1061,0.24
3380,Radial Velocity,K2 III,6.7,417.9,eps CrB,1.13
3381,Radial Velocity,K2 V,3.25,16510.0,eps Ind A,1.17
3382,Radial Velocity,K0 III,7.6,594.9,eps Tau,1.13
3383,Radial Velocity,G0 V,1.0449,39.8458,rho CrB,1.23
3384,Transit,,0.0186,18.92540274,Kepler-770,0.205
3385,Transit,,0.0266,3.72215641,Kepler-612,0.253
